family	building_type	element	value_original	unit_original	value_m	parse	confidence	source	quote
curtain_rampart	curtain wall crenellation, 13th c. (general formula)	crenel sill (appui) height above chemin de ronde floor	1.00	m	1.000	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	l’appui des créneaux est à 1 mètre du sol du chemin de ronde, et leur largeur est de 0,70 c.
curtain_rampart	curtain wall crenellation, 13th c. (general formula)	crenel (embrasure) opening width	0.70	m	0.700	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	l’appui des créneaux est à 1 mètre du sol du chemin de ronde, et leur largeur est de 0,70 c.
curtain_rampart	crenellation, all periods (anthropometric rule)	crenel opening width, full observed range	0.70 to 1.00	m	0.850	m [range midpoint]	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les dimensions des crénelages étant données par la taille de l’homme, ces dimensions varient peu : les merlons ont toujours à peu près deux mètres de hauteur, pour pouvoir garantir complètement les défenseurs ; les appuis des créneaux sont à un mètre du sol du chemin de ronde, et leur largeur varie d’un mètre, à soixante-dix centimètres.
curtain_rampart	Gallo-Roman town wall, crenellated parapet	parapet thickness at the wall head	0.50 approx	m	0.500	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les créneaux qui couronnent les fortifications gallo-romaines sont percés habituellement dans des parapets d’une épaisseur assez forte, 0,50 c. environ, construits en moellons taillés et en brique, couronnés par une dalle de recouvrement formant une saillie tout autour du merlon
curtain_rampart	curtain wall crenellation, 13th c. (general formula)	archère external slit width (opening)	0.07 to 0.08	m	0.075	m [range midpoint]	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	en a sont les archères, qui n’ont pas plus de 0,07 c. à 0,08 c. d’ouverture
curtain_rampart	curtain wall crenellation, 13th c. (general formula)	archère internal splay (ébrasement) width	0.40 to 0.45	m	0.425	m [range midpoint]	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	en B , le plan du crénelage avec ses archères, lesquelles ont 0,40 c. à 0,45 c. d’ébrasement
curtain_rampart	covered tower, crenels under the roof, 13th c.	wall thickness at the crenel (crenel has an allège beneath)	0.90	m	0.900	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les murs ayant 0,90 c. d’épaisseur, les créneaux ont une allège A , afin de permettre aux défenseurs de voir en dehors
curtain_rampart	Béziers cathedral, south transept, fortified parapet, 12th c.	chemin de ronde floor up to top of the supporting cornice	1.18	m	1.180	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Du sol du chemin de ronde, au-dessus de la corniche B , il n’y a qu’un mètre dix-huit centimètres de hauteur
curtain_rampart	rampart wall head (all periods)	merlon / parapet thickness band, sets the walkway width	0.38 to 0.58 (14 to 21 pouces)	m	0.380	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Chemin de ronde	Les merlons étant posés sur le parement extérieur des murailles, et ayant une épaisseur qui variait de 0,38 c. à 0,58 c. (14 à 21 pouces), il restait en dedans du rempart un couronnement de maçonnerie que l’on recouvrait de dalles et qui formait le chemin de ronde.
curtain_rampart	rampart wall head (all periods)	chemin de ronde clear width, minimum passable (paving corbels inward when the wall is too thin)	2 men abreast	persons		unparsed	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Chemin de ronde	Lorsque le mur n’avait qu’une épaisseur médiocre, le dallage du chemin de ronde débordait à l’intérieur, afin de suppléer à la maçonnerie et de permettre à deux hommes, au moins, de passer de front.
curtain_rampart	curtain wall, Romanesque	total relief (height incl. crenellation) above exterior ground or ditch bottom	6 max (ne dépasse guère)	m	6.000	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Courtine	quelquefois même ces courtines étaient terrassées, et leur relief, compris le crénelage, ne dépasse guère six mètres au-dessus du sol extérieur ou du fond du fossé.
curtain_rampart	curtain wall, 13th c., very strong places	curtain height (relief)	10 to 12	m	11.000	m [range midpoint]	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Courtine	Au XIII e siècle, on augmenta le relief des courtines, et nous leur voyons atteindre une hauteur de dix ou douze mètres dans des places très-fortes.
curtain_rampart	curtain wall, 14th c., with stone machicolation	height above ground at which the base glacis intercepts the machicolation drop line	3 approx	m	3.000	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Courtine	les constructeurs tracèrent le profil des courtines de façon à ce que les projectiles, tombant par les trous de ces mâchicoulis, vinssent rencontrer un glacis à trois mètres du sol environ
curtain_rampart	curtain wall, Romanesque	exterior face batter (fruit)	0 (plumb, no batter)	deg		non-length (deg)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Courtine	Les courtines romanes ont leur parement extérieur monté d’aplomb, sans fruit, afin de rendre l’escalade plus difficile.
curtain_rampart	Carcassonne, château, towers and curtains, c.1100	merlon height	1.60 to 1.80	m	1.700	m [range midpoint]	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Les merlons des tours et courtines du château de Carcassonne (1100 environ) sont hauts (1 m ,60 à 1 m ,80) ; les trous de hourds sont espacés régulièrement
curtain_rampart	timber hoarding (hourd), 13th c. simplified system	hoarding beam socket, square, pierced at chemin de ronde floor level	0.30 x 0.30 approx	m	0.300	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	on se contenta d’un seul rang de larges trous carrés (0,30 c. × 0,30 c. environ) percés au niveau des chemins de ronde
curtain_rampart	timber hoarding (hourd), 13th c. simplified system	oak cantilever joist scantling (squared) and free cantilever length	0.30 squared; up to 3 cantilevered	m	0.300	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	une pièce de bois de chêne de 0,30 c. d’équarrissage, fût-elle de trois mètres en bascule, peut porter un poids énorme
curtain_rampart	timber hoarding (hourd), 13th c. simplified system	hoarding projection beyond the wall face	1.95 max (une toise)	m	1.950	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Or les hourds avaient rarement plus de 1 m ,95 c. de saillie (une toise).
curtain_rampart	Carcassonne, cité, curtains beside the Porte Narbonnaise (Philippe le Hardi, c.1285)	hoarding beam socket, square side, regularly spaced, at chemin de ronde level	0.30	m	0.300	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Leur base est traversée au niveau du chemin de ronde, par des trous de hourds de 0,30 c. de côté, régulièrement espacés.
curtain_rampart	Carcassonne, cité, double hoarding at the Porte Narbonnaise	hoarding joist (bay) spacing along the wall	5 pieds (Viollet glosses 1 pied = 0,33 c. elsewhere)	ft	1.524	first number, unit column (ft)	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Les hourds doubles étaient donc disposés ainsi : de cinq pieds en cinq pieds passaient par les trous de hourds les fortes solives C
curtain_rampart	Carcassonne, cité, double hoarding at the Porte Narbonnaise	vertical spacing, second row of moises above the first (upper hoarding floor level)	1.80	m	1.800	m	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Un second rang de moises, posé en L , à 1 m ,80 du premier rang, formait l’enrayure des arbalétriers M du comble.
curtain_rampart	Coucy, donjon (Enguerrand III, 1220-1230)	hoarding floor (pied des hourds) above the ditch counterscarp	40	m	40.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Le pied des hourds de ce donjon célèbre, le plus grand de tous ceux que possède l’Europe, est à 40 mètres au-dessus de la contrescarpe du fossé.
curtain_rampart	Coucy, donjon (Enguerrand III, 1220-1230)	hoarding stone corbels: count, projection, thickness (each of two courses)	48 corbels; 1.07 projection; 0.30 thickness	m	48.000	first number, unit column (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	ils ont établi, tout autour de l’énorme cylindre, quarante-huit consoles de pierre de 1 m ,07 de saillie sur 0,30 c. d’épaisseur, pour asseoir le hourdage
curtain_rampart	Coucy, donjon (Enguerrand III, 1220-1230)	hoarding corbel course above the ditch bottom (Viollet's own scaffold survey)	46	m	46.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Nous avons tenu à nous rendre compte de la manière de poser ces hourds, à une hauteur de 46 mètres au-dessus du fond du fossé, sur des consoles isolées en contre-bas des crénelages.
curtain_rampart	Carcassonne, château, crenellation c.1100 with hoarding fitted	crenel used as a doorway: hoarding floor sits level with the crenel sill, merlon tall enough for a man to pass upright	clear standing height (man passes upright)	qualitative		unparsed	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les hourds posés, leur sol se trouvait alors au niveau de l’appui des créneaux ; aussi les merlons sont assez hauts pour permettre à un homme de passer debout par les créneaux, comme par autant de portes, afin de se poster sur les hourds.
curtain_rampart	stone machicolation, northern France (regulation)	drop-hole, square opening	0.33 (1 pied) to 0.40 (15 pouces)	m	0.330	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Mâchicoulis	les trous des mâchicoulis des fortifications du nord de la France ont des dimensions évidemment réglementaires ; ils forment un carré qui varie de 0,33 c. (1 pied) à 0,40 c. (15 pouces)
curtain_rampart	Montbard, château tower, machicolation logette (late 13th c., Burgundy)	slab thickness of the corbelled box (cheeks and face, three slabs; cap of two stones)	0.20	m	0.200	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Mâchicoulis	Les jouées et la face de cette logette saillante sont construites au moyen de trois dalles de 0,20 c. d’épaisseur ; le chaperon est fait de deux pierres.
curtain_rampart	Avignon ramparts, machicolation corbelling (mid-14th c.)	corbel courses (assises) making the corbel-out: diagonal angle corbel vs. normal	6 courses at the diagonal angle corbel; 5 courses elsewhere	courses		unparsed	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Mâchicoulis	lesquels, suivant la coupe c d , donneront le profil D possédant six assises de corbeaux ; les deux encorbellements C seront légèrement biais pour obtenir des arcs BC égaux aux arcs CF , les encorbellements C et F n’auront que cinq assises
curtain_rampart	Royat church, machicolated crown (first half 13th c., Auvergne)	machicolation arcades per structural bay (between each buttress)	4 arcades per bay	count		non-length (count)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Mâchicoulis	elle se compose d’une suite d’arcades portées sur des consoles. Entre chaque contre-fort de l’édifice, on compte quatre arcades.
curtain_rampart	Le Puy-en-Velay, Bâtiment des mâchicoulis (13th c. defence over a 12th c. barrel-vaulted hall)	garrison capacity of the covered fighting platform (interior-span proxy)	200 men	persons		unparsed	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Mâchicoulis	une défense importante et solide placée au-dessus d’une grande salle voûtée en berceau tiers-point, défense qui peut contenir deux cents hommes
keep_donjon	castle curtain wall (Villandraut, mid-13th c.)	wall thickness	2.70	m	2.700	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Les tours du château de Villandraut ont 27 m ,00 de hauteur, non compris les couronnements qui sont détruits, sur 11 m ,00 et 12 m ,00 de diamètre ; elles commandaient de beaucoup les courtines, dont l’épaisseur est de 2 m ,70.
keep_donjon	donjon great tower (Pierrefonds, late 14th c.)	wall thickness, ground storey (unpierced)	4.60	m	4.600	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	c’est la grosse tour I du donjon dont les murs, d’une épaisseur considérable (4 m ,60), ne sont, à rez-de-chaussée, percés d’aucune ouverture
keep_donjon	castle towers and curtains (Pierrefonds)	wall thickness multiplier at base (empattement vs. upper wall)	about 2 (base ≈ 2 × wall thickness)	ratio		non-length (ratio)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Les tours et courtines sont d’ailleurs renforcées à la base par un empattement qui double à peu près l’épaisseur de leurs murs, et la construction est admirablement faite en bonne maçonnerie, avec revêtement de pierre de taille dure.
keep_donjon	crenellated parapet, Gallo-Roman	parapet wall thickness	0.50	m	0.500	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les créneaux qui couronnent les fortifications gallo-romaines sont percés habituellement dans des parapets d’une épaisseur assez forte, 0,50 c. environ, construits en moellons taillés et en brique
keep_donjon	crenellated parapet, 13th c.	merlon thickness (parapet thickness at the crenellation)	0.45	m	0.450	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les merlons ont 2 mètres de haut sur 1 m , 70 au moins, et 3 m , 30 au plus de largeur sur 0,45 c. d’épaisseur ; l’appui des créneaux est à 1 mètre du sol du chemin de ronde, et leur largeur est de 0,70 c.
keep_donjon	roofed tower with crenels under the roof, 13th c.	wall thickness at the crenellation (crenels get an allège)	0.90	m	0.900	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les murs ayant 0,90 c. d’épaisseur, les créneaux ont une allège A , afin de permettre aux défenseurs de voir en dehors
keep_donjon	fortified manor keep (Castera de Saint-Médard-en-Jalle, 1st half 13th c.)	storey height, ground floor, floor to ceiling	2.65 (maximum)	m	2.650	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Manoir	Ce rez-de-chaussée du sol au plafond n’a pas plus de 2 m , 65.
keep_donjon	fortified manor keep (Castera de Saint-Médard-en-Jalle)	storey height, grande salle, floor to ceiling	4.30	m	4.300	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Manoir	La grande salle R avait entre le plancher et le plafond 4 m ,30 de hauteur, et chacun des étages entresolés 2 m ,30 environ
keep_donjon	fortified manor keep (Castera de Saint-Médard-en-Jalle)	storey height, each entresolled storey, floor to ceiling	2.30	m	2.300	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Manoir	La grande salle R avait entre le plancher et le plafond 4 m ,30 de hauteur, et chacun des étages entresolés 2 m ,30 environ
keep_donjon	fortified manor keep (Castera de Saint-Médard-en-Jalle)	floor structure thickness (plancher) over an entresol	0.30	m	0.300	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Manoir	L’étage entrésolé 2 m ,30 5 m ,20 Épaisseur du plancher 30 L’entresol 2 m ,30 Épaisseur du plancher 30 Hauteur de la grande salle 4 m ,30 5 m ,20 Poutres et corbeaux 60 Solivages 30
keep_donjon	fortified manor keep (Castera de Saint-Médard-en-Jalle)	floor structure over the great hall: beams + corbels depth	0.60	m	0.600	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Manoir	L’étage entrésolé 2 m ,30 5 m ,20 Épaisseur du plancher 30 L’entresol 2 m ,30 Épaisseur du plancher 30 Hauteur de la grande salle 4 m ,30 5 m ,20 Poutres et corbeaux 60 Solivages 30
keep_donjon	fortified manor keep (Castera de Saint-Médard-en-Jalle)	floor structure over the great hall: solivage (joisting) depth	0.30	m	0.300	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Manoir	L’étage entrésolé 2 m ,30 5 m ,20 Épaisseur du plancher 30 L’entresol 2 m ,30 Épaisseur du plancher 30 Hauteur de la grande salle 4 m ,30 5 m ,20 Poutres et corbeaux 60 Solivages 30
keep_donjon	fortified manor keep (Castera de Saint-Médard-en-Jalle)	total floor-to-floor block, ground of first floor to chemin de ronde (both the entresolled stack 2.30+0.30+2.30+0.30 and the hall stack 4.30+0.60+0.30 arase at the same level)	5.20	m	5.200	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Manoir	de sorte que le plancher au-dessus de cette grande salle et celui au-dessus de l’entresol, en comptant l’épaisseur des poutres et solives, s’ arasait au niveau d’un chemin de ronde supérieur. En effet, en calculant ces hauteurs, L’étage entrésolé 2 m ,30 5 m ,20 Épaisseur du plancher 30 L’entresol 2 m ,30 Épaisseur du plancher 30 Hauteur de la grande salle 4 m ,30 5 m ,20 Poutres et corbeaux 60 Solivages 30
keep_donjon	donjon interior, second floor (Coucy, 1220-30)	height of the encircling gallery floor above the dodecagonal hall pavement	3.30	m	3.300	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Donjon	Cet étage, voûté comme ceux du dessous, se composait d’une salle dodécagone entourée d’une galerie relevée de 3 m ,30 au-dessus du pavé de cette salle et formant ainsi un large portique avec balcons
keep_donjon	flanking towers of a castle enceinte (Coucy, towers C, D, S, T)	storey count of a large flanking tower	2 cellar storeys + 3 hall storeys above ground + 1 attic storey	storeys		unparsed	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Les tours C, D, S, T possèdent deux étages de caves et trois étages de salles au-dessus du sol, sans compter l’étage des combles.
keep_donjon	double timber hoarding (Carcassonne, Porte Narbonnaise, Philippe le Hardi)	vertical spacing between the two hoarding decks (second rank of moises above the first)	1.80	m	1.800	m	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Un second rang de moises, posé en L , à 1 m ,80 du premier rang, formait l’enrayure des arbalétriers M du comble.
keep_donjon	castle range over the lices (Pierrefonds, north wing)	drop from the inner courtyard floor to the lices floor (lowest storey level)	8	m	8.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Nous donnons en B le plan de l’étage inférieur de l’aile du nord au niveau du sol des lices, qui se trouve à huit mètres en contrebas du sol de la cour intérieure.
keep_donjon	crenellated parapet, 13th c. (design formula)	merlon height above the chemin-de-ronde floor	2.00	m	2.000	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Au XIII e siècle, les créneaux sont évidemment construits d’après une formule donnée par l’expérience. Les merlons ont 2 mètres de haut sur 1 m , 70 au moins, et 3 m , 30 au plus de largeur sur 0,45 c. d’épaisseur
keep_donjon	crenellated parapet, 13th c. (design formula)	merlon width	1.70 to 3.30	m	2.500	m [range midpoint]	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les merlons ont 2 mètres de haut sur 1 m , 70 au moins, et 3 m , 30 au plus de largeur sur 0,45 c. d’épaisseur
keep_donjon	crenellated parapet, 13th c. (design formula)	crenel sill height above the chemin-de-ronde floor	1.00	m	1.000	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	l’appui des créneaux est à 1 mètre du sol du chemin de ronde, et leur largeur est de 0,70 c. Au milieu de chaque merlon est percée une archère.
keep_donjon	crenellated parapet, 13th c. (design formula)	crenel opening width	0.70	m	0.700	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	l’appui des créneaux est à 1 mètre du sol du chemin de ronde, et leur largeur est de 0,70 c.
keep_donjon	crenellated parapet, all periods (human-stature rule)	crenel opening width, full observed range	1.00 down to 0.70	m	1.000	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Les dimensions des crénelages étant données par la taille de l’homme, ces dimensions varient peu : les merlons ont toujours à peu près deux mètres de hauteur, pour pouvoir garantir complètement les défenseurs ; les appuis des créneaux sont à un mètre du sol du chemin de ronde, et leur largeur varie d’un mètre, à soixante-dix centimètres.
keep_donjon	crenellated parapet (Carcassonne towers and curtains, c.1100)	merlon height	1.60 to 1.80	m	1.700	m [range midpoint]	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Les merlons des tours et courtines du château de Carcassonne (1100 environ) sont hauts (1 m ,60 à 1 m ,80) ; les trous de hourds sont espacés régulièrement
keep_donjon	crenellated parapet, 13th c.	archère (arrow-loop) external slit width	0.07 to 0.08	m	0.075	m [range midpoint]	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	en a sont les archères, qui n’ont pas plus de 0,07 c. à 0,08 c. d’ouverture
keep_donjon	crenellated parapet, 13th c.	archère internal splay (ébrasement) width	0.40 to 0.45	m	0.425	m [range midpoint]	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	en B , le plan du crénelage avec ses archères, lesquelles ont 0,40 c. à 0,45 c. d’ébrasement
keep_donjon	crenellated cornice (Béziers cathedral)	height from the chemin-de-ronde floor to the top of the cornice	1.18	m	1.180	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Créneau	Du sol du chemin de ronde, au-dessus de la corniche B , il n’y a qu’un mètre dix-huit centimètres de hauteur
keep_donjon	castle gate (Château Gaillard, gate K)	door sill height above the ditch counterscarp	over 2	m	2.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	En K s’ouvre la porte du château ; son seuil est élevé de plus de deux mètres au-dessus de la contrescarpe du fossé L .
keep_donjon	castle postern (Pierrefonds, postern V in curtain T)	postern sill height above the external base of the curtain	8	m	8.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	En V , la courtine T est percée d’une large poterne munie de vantaux et d’un pont-levis ; le seuil de cette poterne est placé à huit mètres au-dessus de la base extérieure de la muraille.
keep_donjon	tower oubliette (Pierrefonds, SW tower)	diameter of the well mouth / oculus in the crown of the cave vault (only access)	1.60	m	1.600	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	puits dont l’ouverture de 1 m ,60 de diamètre correspond à l’œil pratiqué au centre de la voûte elliptique de la cave
keep_donjon	tower oubliette (Pierrefonds, SW tower)	cave depth, floor to vault crown	7	m	7.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Au-dessus du rez-de-chaussée est un étage voûté en arcs ogives, et au-dessous de cet étage une cave d’une profondeur de 7 mètres, voûtée en calotte elliptique.
keep_donjon	tower oubliette (Pierrefonds, SW tower)	depth of the well sunk in the cave floor	8	m	8.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	au centre de l’aire de cette cave circulaire est creusé un puits, qui nous a paru avoir huit mètres de profondeur, bien qu’en partie comblé
keep_donjon	great hall block (Montargis, 2nd half 13th c.)	hall length x width, dans oeuvre	50 x 16	m	50.000	pair max (m)	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, art. Salle	Ce vaisseau, l’un des plus grands qui fussent en France, avait 50 mètres de longueur sur 16 mètres, dans œuvre.
keep_donjon	great hall block (Palais de Paris, Philippe le Bel)	hall length x width, dans oeuvre	70.50 x 27.50	m	70.500	pair max (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Salle	La grand’salle proprement dite a 70 m ,50 de long sur 27 m ,50 de large dans œuvre.
keep_donjon	quadrangular castle block (Villandraut, mid-13th c.)	overall block length x width, dans oeuvre	47.50 x 39.00	m	47.500	pair max (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Le château de Villandraut près Bazas, bâti vers le milieu du XIII e siècle, nous fait voir déjà des tours très-fortes et saillantes sur les courtines, flanquant à chaque angle un parallélogramme de 47 m ,50 sur 39 m ,00 dans œuvre.
keep_donjon	quadrangular castle block (Villandraut)	inner courtyard length x width	25.00 x 30.00	m	30.000	pair max (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	des logements étaient disposés à l’intérieur le long des quatre faces, de manière à laisser une cour de 25 m ,00 sur 30 m ,00 environ
keep_donjon	corner tower (Villandraut)	tower height, crownings excluded	27.00	m	27.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Les tours du château de Villandraut ont 27 m ,00 de hauteur, non compris les couronnements qui sont détruits, sur 11 m ,00 et 12 m ,00 de diamètre
keep_donjon	corner tower (Villandraut)	tower diameter	11.00 and 12.00	m	11.000	first number, unit column (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Les tours du château de Villandraut ont 27 m ,00 de hauteur, non compris les couronnements qui sont détruits, sur 11 m ,00 et 12 m ,00 de diamètre
keep_donjon	flanking tower of a castle enceinte (Coucy, towers C, D, S, T)	tower diameter hors oeuvre x height above external ground	18 x 35	m	35.000	pair max (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Ces tours, qui n’ont pas moins de dix-huit mètres de diamètre hors œuvre sur trente-cinq mètres de hauteur environ au-dessus du sol extérieur, ne sont rien auprès du donjon
keep_donjon	donjon (Coucy) — Château-article figures, differ from the Donjon-article figures already in fortification_dimensions_v1.tsv (30.50 m dia., 55 m high)	donjon diameter hors oeuvre x total height, ditch bottom to crowning	31 x 64	m	64.000	pair max (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	le donjon qui porte trente-un mètres de diamètre hors œuvre sur soixante-quatre mètres depuis le fond du fossé jusqu’au couronnement
keep_donjon	donjon (Louvre, Philippe-Auguste)	donjon diameter x height	20 x 30	m	30.000	pair max (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	le donjon du Louvre n’avait que vingt mètres de diamètre environ sur trente mètres de haut ; le donjon de Coucy est bien autrement important, son diamètre étant de trente-un mètres et sa hauteur de soixante-cinq environ
keep_donjon	scalloped inner enceinte (Château Gaillard, Richard I)	bay module of the lobed curtain: chord of each circular segment / straight curtain between segments	3 / 1	m	3.000	first number, unit column (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	c’est une suite de segments de cercle de trois mètres de corde environ, séparés par des portions de courtine d’un mètre seulement
keep_donjon	timber hoarding, single deck, 13th c.	putlog socket, square, at chemin-de-ronde level	0.30 x 0.30	m	0.300	pair max (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	On renonça aux trous doubles, on se contenta d’un seul rang de larges trous carrés (0,30 c. × 0,30 c. environ) percés au niveau des chemins de ronde
keep_donjon	timber hoarding, 13th c.	oak hoarding joist scantling (équarrissage, squared)	0.30	m	0.300	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	et, en effet, une pièce de bois de chêne de 0,30 c. d’équarrissage, fût-elle de trois mètres en bascule, peut porter un poids énorme
keep_donjon	timber hoarding, 13th c.	hoarding projection (saillie) beyond the wall face, upper bound	1.95 (one toise)	m	1.950	first number, unit column (m)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Or les hourds avaient rarement plus de 1 m ,95 c. de saillie (une toise).
keep_donjon	double timber hoarding (Carcassonne, Porte Narbonnaise)	socket / joist spacing along the wall (bay of the hoarding gallery), 5 pieds ≈ 1.62 m	5 pieds	ft (pied de roi, ≈1.62 m)	1.524	first number, unit column (ft)	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Leur base est traversée au niveau du chemin de ronde, par des trous de hourds de 0,30 c. de côté, régulièrement espacés. […] Les hourds doubles étaient donc disposés ainsi : de cinq pieds en cinq pieds passaient par les trous de hourds les fortes solives C
keep_donjon	stone-corbelled hoarding (Coucy donjon, 1220-30)	stone corbel projection x thickness; 48 corbels round the cylinder	1.07 x 0.30	m	1.070	pair max (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	ils ont établi, tout autour de l’énorme cylindre, quarante-huit consoles de pierre de 1 m ,07 de saillie sur 0,30 c. d’épaisseur, pour asseoir le hourdage
keep_donjon	stone-corbelled hoarding (Coucy donjon)	height of the hoarding foot above the ditch counterscarp	40	m	40.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Le pied des hourds de ce donjon célèbre, le plus grand de tous ceux que possède l’Europe, est à 40 mètres au-dessus de la contrescarpe du fossé.
keep_donjon	stone-corbelled hoarding (Coucy donjon)	height of the corbel course above the ditch bottom	46	m	46.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Hourd	Nous avons tenu à nous rendre compte de la manière de poser ces hourds, à une hauteur de 46 mètres au-dessus du fond du fossé, sur des consoles isolées en contre-bas des crénelages.
keep_donjon	stone machicolation, early (pre-artillery) type	corbel thickness	0.30 to 0.40	m	0.350	m [range midpoint]	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	mais les consoles portant les parapets de la grosse tour cylindrique ne sont plus de simples corbeaux de 0,30 c. à 0,40 c. d’épaisseur ; ce sont de gros encorbellements, des pyramides posées sur la pointe
keep_donjon	castle well (Carcassonne, principal well, rock-cut through sandstone)	shaft internal diameter	2.57	m	2.570	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Puits	Son diamètre intérieur est de 2 m ,57.
